geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,rn
1001,-23.5497792994691,-46.6339571183853,são paulo,SP,1
1002,-23.5483179780715,-46.6354211019967,sao paulo,SP,1
1003,-23.5489604779272,-46.6361721618097,sao paulo,SP,1
1004,-23.5495349480928,-46.6343066683305,sao paulo,SP,1
1005,-23.5498190918691,-46.6356058899532,sao paulo,SP,1
1006,-23.5505243083559,-46.6366936383519,sao paulo,SP,1
1007,-23.550096635582,-46.6379347944775,sao paulo,SP,1
1008,-23.5442549315454,-46.6346391355893,sao paulo,SP,1
1009,-23.5456915392694,-46.6358660614864,sao paulo,SP,1
1010,-23.5478069583463,-46.6361218185381,são paulo,SP,1
1011,-23.5466904869649,-46.6354469588072,sao paulo,SP,1
1012,-23.5471192908708,-46.6348811117202,sao paulo,SP,1
1013,-23.5476863222344,-46.6341397692307,são paulo,SP,1
1014,-23.5453382864274,-46.6335822475619,sao paulo,SP,1
1015,-23.5479735,-46.6334685,sao paulo,SP,1
1016,-23.5484951287726,-46.6334906276761,sao paulo,SP,1
1017,-23.5501599303192,-46.6314654018985,sao paulo,SP,1
1018,-23.5502186477633,-46.63188,sao paulo,SP,1
1019,-23.5521518834324,-46.6308022471579,sao paulo,SP,1
1020,-23.551854317791,-46.6292001165676,sao paulo,SP,1
1021,-23.5446012673314,-46.6325395451484,sao paulo,SP,1
1022,-23.5447147399446,-46.6331642658838,são paulo,SP,1
1023,-23.5390214074384,-46.6307298651105,sao paulo,SP,1
1024,-23.5418629532396,-46.6300352943154,sao paulo,SP,1
1025,-23.540408522421,-46.6314931746629,são paulo,SP,1
1026,-23.5396160574471,-46.6311874977783,sao paulo,SP,1
1027,-23.5377897696347,-46.6304388259853,sao paulo,SP,1
1028,-23.5364247238444,-46.6313899242311,sao paulo,SP,1
1029,-23.540886,-46.6328504855733,sao paulo,SP,1
1030,-23.5429614060534,-46.6331957818398,sao paulo,SP,1
1031,-23.5425207891151,-46.6353351613428,sao paulo,SP,1
1032,-23.5407746888741,-46.6355148430377,sao paulo,SP,1
1033,-23.5403213047492,-46.6363948159733,sao paulo,SP,1
1034,-23.542995562878,-46.6375756693456,sao paulo,SP,1
1035,-23.5404396977609,-46.6437157800507,sao paulo,SP,1
1036,-23.5402725026257,-46.6439084429569,sao paulo,SP,1
1550,-23.5722338479138,-46.6150697436955,sao paulo,SP,1
1551,-23.5733559672514,-46.6135319228461,sao paulo,SP,1
1552,-23.5719550685556,-46.6111923362571,sao paulo,SP,1
1553,-23.5763454901747,-46.6092509678895,sao paulo,SP,1
2009,-23.5157991038303,-46.6411390909714,sao paulo,SP,1
2010,-23.514929559813,-46.6264058315252,são paulo,SP,1
2011,-23.5071809475446,-46.6262824345028,sao paulo,SP,1
2012,-23.5150293401122,-46.6418009061786,sao paulo,SP,1
2013,-23.5010374782157,-46.6373014941716,sao paulo,SP,1
2016,-23.5012075758915,-46.6317224617545,são paulo,SP,1
2017,-23.5002825148594,-46.6286712799065,sao paulo,SP,1
2018,-23.4927995749925,-46.6326639761102,sao paulo,SP,1
2019,-23.49918119401,-46.6298067835132,sao paulo,SP,1
2020,-23.4958608542905,-46.6361829009175,sao paulo,SP,1
2021,-23.4974337799065,-46.6364539272895,sao paulo,SP,1
2022,-23.5033347977795,-46.6389382450325,sao paulo,SP,1
2028,-23.509644589168,-46.6193714458399,sao paulo,SP,1
2029,-23.5112038050201,-46.6212845491609,sao paulo,SP,1
2030,-23.5043980545386,-46.6246270228822,sao paulo,SP,1
2031,-23.5031265748582,-46.6249706135095,sao paulo,SP,1
2032,-23.5102122289013,-46.6230428727969,sao paulo,SP,1
2033,-23.5002753069709,-46.6127254962491,sao paulo,SP,1
2034,-23.506377485429,-46.6258716618097,sao paulo,SP,1
2035,-23.5014933666397,-46.6223520910324,sao paulo,SP,1
2036,-23.5020842633111,-46.6203512865544,sao paulo,SP,1
2037,-23.4993084199319,-46.6205547048301,sao paulo,SP,1
2038,-23.4945399394945,-46.6246571230885,sao paulo,SP,1
2039,-23.4941161219234,-46.6215084476791,sao paulo,SP,1
2040,-23.4882924199319,-46.6224936962317,sao paulo,SP,1
2041,-23.488213767413,-46.6210295836748,são paulo,SP,1
2042,-23.4978568709217,-46.6150454262405,sao paulo,SP,1
2043,-23.4915831829015,-46.6127960605055,sao paulo,SP,1
2044,-23.4988771640314,-46.6188774780715,sao paulo,SP,1
2045,-23.4944060239626,-46.617320553161,sao paulo,SP,1
2046,-23.4906820323109,-46.6120347675053,sao paulo,SP,1
2047,-23.5162282889839,-46.6218410823409,sao paulo,SP,1
2049,-23.5133573635717,-46.6186185428677,sao paulo,SP,1
2050,-23.5179974593456,-46.6126127756073,sao paulo,SP,1
2051,-23.5035084549022,-46.6046378701022,sao paulo,SP,1
2052,-23.5115287651913,-46.6071281708407,sao paulo,SP,1
2053,-23.5104274443419,-46.6011794998844,sao paulo,SP,1
2054,-23.5189588359686,-46.6078490147152,sao paulo,SP,1
2055,-23.5145714568354,-46.6044229175659,sao paulo,SP,1
2056,-23.5110284737723,-46.6041041194818,sao paulo,SP,1
2060,-23.5180491232327,-46.6039389343586,sao paulo,SP,1
2231,-23.4786165190143,-46.5637279920942,sao paulo,SP,1
2232,-23.4747257740781,-46.5638349605863,são paulo,SP,1
2233,-23.4791478070859,-46.5619267503051,sao paulo,SP,1
2234,-23.4762743939687,-46.568351005571,sao paulo,SP,1
2235,-23.4808757391078,-46.5806574950083,sao paulo,SP,1
2236,-23.4751529963933,-46.5690530954758,sao paulo,SP,1
2237,-23.8487482564488,-46.6966168277743,sao paulo,SP,1
2238,-23.4698275992025,-46.5720927638336,sao paulo,SP,1
2239,-23.4846614593456,-46.6073881928848,sao paulo,SP,1
2240,-23.4795446194818,-46.6035542756073,sao paulo,SP,1
2241,-23.4921000591205,-46.6090771640314,sao paulo,SP,1
2242,-23.4881330291419,-46.6076599571239,sao paulo,SP,1
2243,-23.491357889809,-46.6052052521496,são paulo,SP,1
2244,-23.4890634657222,-46.6047302267586,sao paulo,SP,1
1223,-23.5437574710023,-46.6506219446304,sao paulo,SP,1
1224,-23.5426624782157,-46.6557210313636,sao paulo,SP,1
1225,-23.5386940079139,-46.6496446661913,sao paulo,SP,1
1226,-23.53702239079,-46.6517094199319,sao paulo,SP,1
1227,-23.5529024557389,-46.661462937821,sao paulo,SP,1
1228,-23.5535172331352,-46.6621418237636,sao paulo,SP,1
1229,-23.5387062711639,-46.656445767413,sao paulo,SP,1
1236,-23.5451642284034,-46.667380216631,sao paulo,SP,1
1237,-23.5424312518964,-46.6688413511826,são paulo,SP,1
1238,-23.5439270888107,-46.6558219489296,sao paulo,SP,1
1239,-23.5502661490277,-46.6584128792774,sao paulo,SP,1
1240,-23.542960305586,-46.6613584622597,sao paulo,SP,1
1241,-23.5468324751573,-46.6541413009983,sao paulo,SP,1
1242,-23.5474056453055,-46.6560713237636,sao paulo,SP,1
1243,-23.5469313913382,-46.6601625524554,sao paulo,SP,1
1244,-23.547622232587,-46.6605933954932,sao paulo,SP,1
1245,-23.5516865342778,-46.6640903819032,são paulo,SP,1
1246,-23.5550264449188,-46.668882352213,sao paulo,SP,1
1247,-23.5506448498471,-46.6665430130417,são paulo,SP,1
1248,-23.5473369991633,-46.6680098345836,são paulo,SP,1
1249,-23.5493991829015,-46.6730557178718,sao paulo,SP,1
1250,-23.5481063355646,-46.6725508380461,sao paulo,SP,1
1404,-23.5715996791506,-46.6587903136361,sao paulo,SP,1
1405,-23.5624186522304,-46.652632768394,são paulo,SP,1
1406,-23.5679551820648,-46.6600508165502,são paulo,SP,1
1407,-23.5777419322811,-46.6739387550638,sao paulo,SP,1
1408,-23.564228269779,-46.6580637557563,sao paulo,SP,1
1409,-23.5581869125743,-46.6553619590571,sao paulo,SP,1
1410,-23.5636412273069,-46.6617896502971,sao paulo,SP,1
1506,-23.5570228637255,-46.6351805111085,são paulo,SP,1
1507,-23.5581575251025,-46.631784975994,sao paulo,SP,1
1508,-23.5622603294477,-46.6364904888915,sao paulo,SP,1
1509,-23.5683108121068,-46.6348249061976,sao paulo,SP,1
1510,-23.5600625162444,-46.6330089811299,sao paulo,SP,1
1511,-23.5595859045242,-46.6328140727105,sao paulo,SP,1
1512,-23.5532297679613,-46.6288814542097,sao paulo,SP,1
1513,-23.5560153871833,-46.6327635401062,sao paulo,SP,1
1514,-23.557653680824,-46.6299879467079,sao paulo,SP,1
1516,-23.5591884476888,-46.6148596269836,sao paulo,SP,1
1517,-23.5593975550812,-46.6237712571413,sao paulo,SP,1
1518,-23.5589304446304,-46.6229237375786,sao paulo,SP,1
1519,-23.5618570901957,-46.6225841369669,são paulo,SP,1
1520,-23.5583972345202,-46.620429153644,sao paulo,SP,1
1521,-23.5607569211726,-46.6231838680247,sao paulo,SP,1
1522,-23.5623797743486,-46.6170848871743,sao paulo,SP,1
1523,-23.5652684351953,-46.6155863484621,sao paulo,SP,1
1524,-23.5672289680881,-46.6154173601189,sao paulo,SP,1
1525,-23.565081122396,-46.6359322785215,sao paulo,SP,1
2144,-23.5021759941716,-46.5699604345028,sao paulo,SP,1
2145,-23.501495536211,-46.5652929132668,sao paulo,SP,1
2146,-23.5009570233135,-46.5708822639506,sao paulo,SP,1
2147,-23.4971671104353,-46.5651134365939,sao paulo,SP,1
2150,-23.4957201129609,-46.5704166895666,sao paulo,SP,1
2151,-23.4962823244561,-46.5682907725489,sao paulo,SP,1
2152,-23.4964624299152,-46.5725769193836,sao paulo,SP,1
2161,-23.4960093075192,-46.5730661466905,sao paulo,SP,1
2162,-23.4903064504588,-46.5619104311846,sao paulo,SP,1
2166,-23.5250600918691,-46.583738219401,sao paulo,SP,1
2167,-23.5203908617923,-46.5819297234117,sao paulo,SP,1
2168,-23.5196455756487,-46.580216180838,sao paulo,SP,1
2169,-23.4022671437179,-46.7488257078349,sao paulo,SP,1
2170,-23.5294026411187,-46.5924404215409,sao paulo,SP,1
2174,-23.5228523572047,-46.5730271457095,sao paulo,SP,1
2175,-23.5167187412846,-46.5744572619434,sao paulo,SP,1
2176,-23.5131583935599,-46.5717824686364,sao paulo,SP,1
2177,-23.5115068878758,-46.5691791160194,sao paulo,SP,1
2178,-23.5215086333603,-46.571009961423,sao paulo,SP,1
2179,-23.5234891151826,-46.5681610799239,sao paulo,SP,1
2180,-23.5172515809048,-46.5658414822551,sao paulo,SP,1
2181,-23.5186143943967,-46.562437817791,sao paulo,SP,1
2185,-23.5164973411045,-46.5668515582838,sao paulo,SP,1
2186,-23.5133548323619,-46.5687734711466,são paulo,SP,1
2187,-23.5151257157943,-46.564899501385,sao paulo,SP,1
2188,-23.5072754737723,-46.5657886100468,sao paulo,SP,1
2189,-23.5067574970858,-46.5668724600381,sao paulo,SP,1
2190,-23.5049884782157,-46.5659337572855,sao paulo,SP,1
2201,-23.4921110394137,-46.5971179088234,sao paulo,SP,1
2202,-23.4917553666397,-46.5939245641122,sao paulo,SP,1
2203,-23.4925941479312,-46.5890309686364,sao paulo,SP,1
2204,-23.4850201712447,-46.5899480990825,sao paulo,SP,1
2205,-23.4850081013042,-46.5892442391078,sao paulo,SP,1
2206,-23.4863383200127,-46.5909069184027,sao paulo,SP,1
2207,-23.4851966430977,-46.5863481189674,sao paulo,SP,1
2208,-23.4845895123492,-46.5885666298978,sao paulo,SP,1
2209,-23.4867143083559,-46.581400461423,sao paulo,SP,1
2303,-23.4812655473195,-46.6088626151826,sao paulo,SP,1
2304,-23.4808213302845,-46.605479793785,sao paulo,SP,1
2305,-23.4795690210918,-46.6078844861215,sao paulo,SP,1
2306,-23.4415421957179,-46.5941001304705,sao paulo,SP,1
2307,-23.4782416619539,-46.6078290606497,sao paulo,SP,1
2308,-23.4745917274511,-46.6028783746898,sao paulo,SP,1
